standard_feature,lifestyle_col_(2000_row_file),clinical_2_full_col_(541_row_file),clinical_1_col_(541_row_subset),unit_and_definition_note,leakage_or_circularity_note,final_decision,available_in_lifestyle,available_in_clinical_2_full,available_in_clinical_1_subset
prl,PRL(ng/mL),PRL(ng/mL),-,Same unit,None,Keep,True,True,False
vit_d3,Vit D3 (ng/mL),Vit D3 (ng/mL),-,Same unit,None,Keep; check outliers >200,True,True,False
prg,PRG(ng/mL),PRG(ng/mL),-,Same unit,None,Keep,True,True,False
rbs,RBS(mg/dl),RBS(mg/dl),-,Same unit; RBS = Random Blood Sugar per Instructions sheet,None,Keep,True,True,False
weight_gain,Weight gain(Y/N),Weight gain(Y/N),-,"Same 1/0 encoding, self-reported symptom",None,Keep,True,True,False
hirsutism,hair growth(Y/N),hair growth(Y/N),-,Same 1/0 encoding,Part of Rotterdam criteria (hyperandrogenism proxy) - legitimate predictor,Keep,True,True,False
skin_darkening,Skin darkening (Y/N),Skin darkening (Y/N),-,Same 1/0 encoding (acanthosis nigricans proxy),"Associated with insulin resistance, legitimate predictor",Keep,True,True,False
hair_loss,Hair loss(Y/N),Hair loss(Y/N),-,Same 1/0 encoding,"Androgenic alopecia proxy, legitimate predictor",Keep,True,True,False
acne,Pimples(Y/N),Pimples(Y/N),-,Same 1/0 encoding,Part of Rotterdam criteria (hyperandrogenism proxy),Keep,True,True,False
fast_food,Fast food (Y/N),Fast food (Y/N),-,"Same 1/0 encoding, lifestyle factor",None,Keep,True,True,False
exercise,Reg.Exercise(Y/N),Reg.Exercise(Y/N),-,"Same 1/0 encoding, lifestyle factor",None,Keep,True,True,False
bp_systolic,BP _Systolic (mmHg),BP _Systolic (mmHg),-,Same unit,None,Keep; check implausible values (<50),True,True,False
bp_diastolic,BP _Diastolic (mmHg),BP _Diastolic (mmHg),-,Same unit,None,Keep; check implausible values (<30),True,True,False
follicle_left,Follicle No. (L),Follicle No. (L),-,Same unit (count),HIGH circularity risk: follicle count is a literal Rotterdam diagnostic criterion for polycystic ovaries,"Keep for modeling but treat as diagnostic-criterion feature, not an independent risk factor; report models with and without it",True,True,False
follicle_right,Follicle No. (R),Follicle No. (R),-,Same unit (count),Same HIGH circularity risk as follicle_left,Same as follicle_left,True,True,False
f_size_left,Avg. F size (L) (mm),Avg. F size (L) (mm),-,Same unit (mm),Related to ultrasound diagnostic criterion,"Keep, same caveat as follicle counts",True,True,False
f_size_right,Avg. F size (R) (mm),Avg. F size (R) (mm),-,Same unit (mm),Related to ultrasound diagnostic criterion,"Keep, same caveat as follicle counts",True,True,False
endometrium,Endometrium (mm),Endometrium (mm),-,Same unit (mm),"Ultrasound finding, moderate circularity risk","Keep, same caveat as follicle counts",True,True,False
